rollno,register_sem,schedule_sem,subno,grade1,date_of_entry1,grade2,date_of_entry2,sub_type
1801CB24,7,7,CB405,,7/24/2021 10:13:45,,7/24/2021 10:13:45,CORE
2121HS02,2,2,HS713,,3/22/2021 17:11:39,,3/22/2021 17:11:39,CREDIT
2121HS02,2,2,HS725,,3/22/2021 17:11:39,,3/22/2021 17:11:39,CREDIT
2121EE02,2,2,EE570,,3/25/2021 22:51:54,,3/25/2021 22:51:54,CREDIT
2121EE02,2,2,CS564,,3/25/2021 22:51:54,,3/25/2021 22:51:54,CREDIT
2121EE01,2,2,EE512,,3/25/2021 23:29:15,,3/25/2021 23:29:15,CREDIT
2012MA06,3,3,MA521,,3/22/2021 14:00:54,,3/22/2021 14:00:54,CORE
1801CB14,7,7,CB407,,7/23/2021 11:19:41,,7/23/2021 11:19:41,CORE
2012CH22,3,3,CH527,,3/23/2021 10:16:30,,3/23/2021 10:16:30,CORE
2012CH21,3,3,CH591,,3/23/2021 22:22:05,,3/23/2021 22:22:05,CORE
2012CH19,3,3,CH605,,3/23/2021 10:22:41,,3/23/2021 10:22:41,Elective - I
2012CH17,3,3,CH605,,3/24/2021 22:02:27,,3/24/2021 22:02:27,Elective - I
2012CH16,3,3,CH605,,3/25/2021 10:26:52,,3/25/2021 10:26:52,Elective - I
2012CH14,3,3,CH605,,3/25/2021 10:01:52,,3/25/2021 10:01:52,Elective - I
2012CH12,3,3,CH591,,3/25/2021 21:20:29,,3/25/2021 21:20:29,CORE
2012CH11,3,3,CH591,,3/24/2021 23:55:56,,3/24/2021 23:55:56,CORE
2012CH10,3,3,CH591,,3/24/2021 22:19:33,,3/24/2021 22:19:33,CORE
2012CH09,3,3,CH591,,3/23/2021 10:12:01,,3/23/2021 10:12:01,CORE
2012CH08,3,3,CH527,,3/23/2021 10:12:37,,3/23/2021 10:12:37,CORE
1801CB09,7,7,CB407,,7/23/2021 21:51:55,,7/23/2021 21:51:55,CORE
2012CH06,3,3,CH521,,3/24/2021 22:10:36,,3/24/2021 22:10:36,CORE
2012CH02,3,3,CH591,,3/25/2021 21:47:15,,3/25/2021 21:47:15,CORE
2011MT15,3,3,MH603,,3/24/2021 14:39:04,,3/24/2021 14:39:04,CORE
2011MM04,3,3,MM603,,3/24/2021 10:07:35,,3/24/2021 10:07:35,CORE
2011MC08,3,3,MA603,,3/22/2021 20:27:40,,3/22/2021 20:27:40,CORE
2011EE29,3,3,EE518,,3/23/2021 23:45:49,,3/23/2021 23:45:49,CORE
2011EE15,3,3,EE595,,3/25/2021 12:19:48,,3/25/2021 12:19:48,CORE
2121CE16,2,2,CS575,,3/24/2021 11:11:47,,3/24/2021 11:11:47,CREDIT
2121CB11,2,2,CB501,,3/23/2021 21:42:09,,3/23/2021 21:42:09,CREDIT
2012PH24,3,3,PH525,,3/25/2021 10:07:25,,3/25/2021 10:07:25,CORE
2012PH20,3,3,PH525,,3/25/2021 11:02:34,,3/25/2021 11:02:34,CORE
2012PH19,3,3,PH523,,3/25/2021 09:45:10,,3/25/2021 09:45:10,CORE
2012PH17,3,3,PH521,,3/24/2021 22:51:31,,3/24/2021 22:51:31,CORE
2012PH15,3,3,PH521,,3/22/2021 18:54:16,,3/22/2021 18:54:16,CORE
2012PH14,3,3,PH523,,3/25/2021 09:08:50,,3/25/2021 09:08:50,CORE
2012PH12,3,3,PH527,,3/24/2021 23:19:21,,3/24/2021 23:19:21,CORE
2012PH11,3,3,PH527,,3/24/2021 20:13:12,,3/24/2021 20:13:12,CORE
2012PH09,3,3,PH604,,3/24/2021 18:32:04,,3/24/2021 18:32:04,Elective - I
2012PH09,3,3,PH525,,3/24/2021 18:32:04,,3/24/2021 18:32:04,CORE
2012PH08,3,3,PH521,,3/25/2021 19:14:28,,3/25/2021 19:14:28,CORE
2012PH07,3,3,PH523,,3/23/2021 20:02:12,,3/23/2021 20:02:12,CORE
1801CE06,7,7,CE491,,7/24/2021 12:40:47,,7/24/2021 12:40:47,CORE
2012PH03,3,3,PH601,,3/22/2021 20:47:47,,3/22/2021 20:47:47,Elective - I
2012MA23,3,3,MA591,,3/22/2021 15:32:08,,3/22/2021 15:32:08,CORE
2012MA19,3,3,MA525,,3/25/2021 21:53:17,,3/25/2021 21:53:17,CORE
2012MA15,3,3,MA539,,3/24/2021 22:40:37,,3/24/2021 22:40:37,Elective - II
1801CE06,7,7,PH401,,7/24/2021 12:40:47,,7/24/2021 12:40:47,Open Elective - III
1801CE07,7,7,CE491,,7/24/2021 10:12:58,,7/24/2021 10:12:58,CORE
1801CB19,7,7,CB417,,7/23/2021 11:58:41,,7/23/2021 11:58:41,CORE
1801CE07,7,7,CE543,,7/24/2021 10:12:58,,7/24/2021 10:12:58,Department Elective - II
1801CB19,7,7,PH403,,7/23/2021 11:58:41,,7/23/2021 11:58:41,Open Elective - III
1801CE07,7,7,CE571,,7/24/2021 10:12:58,,7/24/2021 10:12:58,Department Elective - III
1801CE07,7,7,HS451,,7/24/2021 10:12:58,,7/24/2021 10:12:58,Open Elective - III
1801CE08,7,7,CE491,,7/23/2021 10:28:55,,7/23/2021 10:28:55,CORE
1801CE08,7,7,CE495,,7/23/2021 10:28:55,,7/23/2021 10:28:55,CORE
1801CE08,7,7,CE545,,7/23/2021 10:28:55,,7/23/2021 10:28:55,Department Elective - II
1801CE08,7,7,CE549,,7/23/2021 10:28:55,,7/23/2021 10:28:55,Department Elective - I
1801CE08,7,7,CE571,,7/23/2021 10:28:55,,7/23/2021 10:28:55,Department Elective - III
1801CE08,7,7,PH403,,7/23/2021 10:28:55,,7/23/2021 10:28:55,Open Elective - III
1801CB20,7,7,CB417,,7/24/2021 10:07:53,,7/24/2021 10:07:53,CORE
1801CB11,7,7,CB401,,7/23/2021 10:48:41,,7/23/2021 10:48:41,CORE
1801CB20,7,7,HS451,,7/24/2021 10:07:53,,7/24/2021 10:07:53,Open Elective - III
1801CB04,7,7,CB401,,7/23/2021 13:54:17,,7/23/2021 13:54:17,CORE
1801CB21,7,7,CB401,,7/23/2021 13:54:43,,7/23/2021 13:54:43,CORE
1801CB11,7,7,CB405,,7/23/2021 10:48:41,,7/23/2021 10:48:41,CORE
1801CE10,7,7,CE491,,7/24/2021 14:08:16,,7/24/2021 14:08:16,CORE
2012MA14,3,3,MA521,,3/22/2021 21:28:05,,3/22/2021 21:28:05,CORE
1801CE10,7,7,CE517,,7/24/2021 14:08:16,,7/24/2021 14:08:16,Department Elective - I
1801CE10,7,7,CE543,,7/24/2021 14:08:16,,7/24/2021 14:08:16,Department Elective - II
1801CE10,7,7,CE571,,7/24/2021 14:08:16,,7/24/2021 14:08:16,Department Elective - III
1801CB21,7,7,CB409,,7/23/2021 13:54:43,,7/23/2021 13:54:43,CORE
2012MA13,3,3,MA523,,3/23/2021 13:43:16,,3/23/2021 13:43:16,CORE
2012MA12,3,3,MA591,,3/24/2021 14:44:30,,3/24/2021 14:44:30,CORE
2012MA12,3,3,MA527,,3/24/2021 14:44:30,,3/24/2021 14:44:30,Elective - I
1801CE14,7,7,CE549,,7/23/2021 19:44:42,,7/23/2021 19:44:42,Department Elective - I
1801CE14,7,7,CE571,,7/23/2021 19:44:42,,7/23/2021 19:44:42,Department Elective - III
1801CE14,7,7,PH401,,7/23/2021 19:44:42,,7/23/2021 19:44:42,Open Elective - III
1801CB22,7,7,CB405,,7/23/2021 13:51:44,,7/23/2021 13:51:44,CORE
1801CB07,7,7,CB401,,7/23/2021 11:17:12,,7/23/2021 11:17:12,CORE
1801CB22,7,7,CB407,,7/23/2021 13:51:44,,7/23/2021 13:51:44,CORE
1801CB11,7,7,PH401,,7/23/2021 10:48:41,,7/23/2021 10:48:41,Open Elective - III
1801CB22,7,7,CB409,,7/23/2021 13:51:44,,7/23/2021 13:51:44,CORE
2012MA11,3,3,MA525,,3/22/2021 18:06:20,,3/22/2021 18:06:20,CORE
1801CE16,7,7,CE491,,7/24/2021 10:04:21,,7/24/2021 10:04:21,CORE
1801CE16,7,7,CE495,,7/24/2021 10:04:21,,7/24/2021 10:04:21,CORE
1801CE16,7,7,CE543,,7/24/2021 10:04:21,,7/24/2021 10:04:21,Department Elective - II
1801CE16,7,7,CE549,,7/24/2021 10:04:21,,7/24/2021 10:04:21,Department Elective - I
1801CB23,7,7,CB401,,7/23/2021 12:23:52,,7/23/2021 12:23:52,CORE
1801CB12,7,7,CB405,,7/23/2021 12:09:36,,7/23/2021 12:09:36,CORE
1801CB23,7,7,CB405,,7/23/2021 12:23:52,,7/23/2021 12:23:52,CORE
1801CE17,7,7,CE495,,7/23/2021 19:42:52,,7/23/2021 19:42:52,CORE
1801CE17,7,7,CE543,,7/23/2021 19:42:52,,7/23/2021 19:42:52,Department Elective - II
1801CE17,7,7,CE549,,7/23/2021 19:42:52,,7/23/2021 19:42:52,Department Elective - I
1801CE17,7,7,CE571,,7/23/2021 19:42:52,,7/23/2021 19:42:52,Department Elective - III
1801CE17,7,7,PH401,,7/23/2021 19:42:52,,7/23/2021 19:42:52,Open Elective - III
1801CE18,7,7,CE491,,7/24/2021 09:33:36,,7/24/2021 09:33:36,CORE
1801CE18,7,7,CE495,,7/24/2021 09:33:36,,7/24/2021 09:33:36,CORE
1801CB07,7,7,CB407,,7/23/2021 11:17:12,,7/23/2021 11:17:12,CORE
2012MA09,3,3,MA527,,3/25/2021 12:05:31,,3/25/2021 12:05:31,Elective - I
1801CB12,7,7,CB417,,7/23/2021 12:09:36,,7/23/2021 12:09:36,CORE
2012MA08,3,3,MA591,,3/25/2021 20:57:43,,3/25/2021 20:57:43,CORE
1801CE19,7,7,CE491,,7/23/2021 19:45:17,,7/23/2021 19:45:17,CORE
1801CE19,7,7,CE495,,7/23/2021 19:45:17,,7/23/2021 19:45:17,CORE
2121ME20,2,2,ME521,,3/24/2021 16:43:52,,3/24/2021 16:43:52,CREDIT
2121ME20,2,2,MH503,,3/24/2021 16:43:52,,3/24/2021 16:43:52,AUDIT
2121MA03,2,2,MA527,,3/24/2021 22:17:35,,3/24/2021 22:17:35,CREDIT
2121HS13,2,2,HS711,,7/26/2021 12:42:59,,7/26/2021 12:42:59,CREDIT
2121EE06,2,2,CS564,,3/23/2021 15:52:15,,3/23/2021 15:52:15,CREDIT
2121HS04,2,2,HS732,,3/24/2021 15:10:48,,3/24/2021 15:10:48,CREDIT
2121EE08,2,2,EE540,,3/24/2021 19:25:22,,3/24/2021 19:25:22,CREDIT
2121EE06,2,2,EE534,,3/23/2021 15:52:15,,3/23/2021 15:52:15,CREDIT
2121HS05,2,2,HS711,,3/24/2021 09:44:55,,3/24/2021 09:44:55,CREDIT
2121EE03,2,2,CS564,,3/25/2021 15:11:31,,3/25/2021 15:11:31,CREDIT
2012MA07,3,3,MA533,,3/23/2021 18:30:03,,3/23/2021 18:30:03,Elective - II
2012MA06,3,3,MA523,,3/22/2021 14:00:54,,3/22/2021 14:00:54,CORE
1801CB25,7,7,CB407,,7/23/2021 20:15:03,,7/23/2021 20:15:03,CORE
1801CE21,7,7,CE545,,7/23/2021 09:42:48,,7/23/2021 09:42:48,Department Elective - III
2012MA03,3,3,MA591,,3/24/2021 22:30:04,,3/24/2021 22:30:04,CORE
2012CH22,3,3,CH530,,3/23/2021 10:16:30,,3/23/2021 10:16:30,CORE
2012CH22,3,3,CH521,,3/23/2021 10:16:30,,3/23/2021 10:16:30,CORE
2012CH21,3,3,CH605,,3/23/2021 22:22:05,,3/23/2021 22:22:05,Elective - I
2012CH21,3,3,CH527,,3/23/2021 22:22:05,,3/23/2021 22:22:05,CORE
2012CH20,3,3,CH521,,3/23/2021 21:01:46,,3/23/2021 21:01:46,CORE
2012CH18,3,3,CH591,,3/23/2021 20:19:46,,3/23/2021 20:19:46,CORE
2012CH18,3,3,CH521,,3/23/2021 20:19:46,,3/23/2021 20:19:46,CORE
2012CH17,3,3,CH521,,3/24/2021 22:02:27,,3/24/2021 22:02:27,CORE
1801CE24,7,7,CE495,,7/24/2021 12:41:42,,7/24/2021 12:41:42,CORE
2012CH15,3,3,CH523,,3/25/2021 11:49:33,,3/25/2021 11:49:33,CORE
2012CH15,3,3,CB501,,3/25/2021 11:49:33,,3/25/2021 11:49:33,Elective - I
2012CH13,3,3,CH591,,3/25/2021 22:04:45,,3/25/2021 22:04:45,CORE
2012CH12,3,3,CH605,,3/25/2021 21:20:29,,3/25/2021 21:20:29,Elective - I
1801CE26,7,7,CE491,,7/23/2021 19:43:54,,7/23/2021 19:43:54,CORE
2012CH11,3,3,CH605,,3/24/2021 23:55:56,,3/24/2021 23:55:56,Elective - I
1801CE26,7,7,CE543,,7/23/2021 19:43:54,,7/23/2021 19:43:54,Department Elective - II
2012CH10,3,3,CH605,,3/24/2021 22:19:33,,3/24/2021 22:19:33,Elective - I
1801CE26,7,7,CE571,,7/23/2021 19:43:54,,7/23/2021 19:43:54,Department Elective - III
2012CH09,3,3,CH605,,3/23/2021 10:12:01,,3/23/2021 10:12:01,Elective - I
1801CB28,7,7,CB405,,7/23/2021 21:39:50,,7/23/2021 21:39:50,CORE
2012CH08,3,3,CH530,,3/23/2021 10:12:37,,3/23/2021 10:12:37,CORE
1801CB28,7,7,CB407,,7/23/2021 21:39:50,,7/23/2021 21:39:50,CORE
1801CB15,7,7,CB407,,7/23/2021 11:49:54,,7/23/2021 11:49:54,CORE
2012CH07,3,3,CH521,,3/25/2021 21:55:07,,3/25/2021 21:55:07,CORE
2012CH06,3,3,CH523,,3/24/2021 22:10:36,,3/24/2021 22:10:36,CORE
2012CH04,3,3,CH530,,3/25/2021 16:24:03,,3/25/2021 16:24:03,CORE
2012CH03,3,3,CH521,,3/22/2021 09:34:51,,3/22/2021 09:34:51,CORE
2012CH01,3,3,CH525,,3/24/2021 22:08:24,,3/24/2021 22:08:24,CORE
2011MT16,3,3,MH603,,3/22/2021 12:16:25,,3/22/2021 12:16:25,CORE
2011MT07,3,3,MH603,,3/22/2021 12:26:01,,3/22/2021 12:26:01,CORE
2011MM05,3,3,MM603,,3/23/2021 14:21:24,,3/23/2021 14:21:24,CORE
2011ME11,3,3,ME603,,3/25/2021 09:21:41,,3/25/2021 09:21:41,CORE
